ticker,date,quarter,year,tone,text,word_count,source,company,sector
AAPL,2020-04-01,Q2 2020,2020,positive,"For the quarter ended April 2020, We are pleased to report record revenue demonstrating strong performance across iPhone, Mac, iPad, and our high-margin Services segment. Our gross margin expanded reflecting operational excellence and favorable product mix. We returned significant capital to shareholders through dividends and share repurchases reflecting our confidence in the business. Services reached an all-time high demonstrating the strength of our installed base and ecosystem. We remain confident in our long-term growth trajectory and continue to invest in innovation across all segments globally.",85,synthetic,Apple Inc.,Technology
AAPL,2020-07-01,Q3 2020,2020,cautious,"For the quarter ended July 2020, We delivered results in line with our expectations though the environment remains uncertain and challenging in several dimensions. Supply constraints impacted revenue by more than we anticipated. We are carefully managing our cost structure while continuing to invest in areas that will drive future growth. We are monitoring macroeconomic and geopolitical developments carefully and adjusting our outlook accordingly.",64,synthetic,Apple Inc.,Technology
AAPL,2020-10-01,Q4 2020,2020,mixed,"For the quarter ended October 2020, Revenue reflects some headwinds from foreign exchange and macroeconomic uncertainty in certain markets. We are monitoring the environment carefully and remain cautious about near-term demand trends particularly in greater China. Despite these challenges our fundamentals remain solid and we are taking appropriate measures to manage costs and protect margins. We believe the near-term pressure is temporary and our long-term opportunity remains compelling and significant.",70,synthetic,Apple Inc.,Technology
AAPL,2021-01-01,Q1 2021,2021,mixed,"For the quarter ended January 2021, Revenue reflects some headwinds from foreign exchange and macroeconomic uncertainty in certain markets. We are monitoring the environment carefully and remain cautious about near-term demand trends particularly in greater China. Despite these challenges our fundamentals remain solid and we are taking appropriate measures to manage costs and protect margins. We believe the near-term pressure is temporary and our long-term opportunity remains compelling and significant.",70,synthetic,Apple Inc.,Technology
AAPL,2021-04-01,Q2 2021,2021,positive,"For the quarter ended April 2021, We are pleased to report record revenue demonstrating strong performance across iPhone, Mac, iPad, and our high-margin Services segment. Our gross margin expanded reflecting operational excellence and favorable product mix. We returned significant capital to shareholders through dividends and share repurchases reflecting our confidence in the business. Services reached an all-time high demonstrating the strength of our installed base and ecosystem. We remain confident in our long-term growth trajectory and continue to invest in innovation across all segments globally.",85,synthetic,Apple Inc.,Technology
AAPL,2021-07-01,Q3 2021,2021,positive,"For the quarter ended July 2021, We are pleased to report record revenue demonstrating strong performance across iPhone, Mac, iPad, and our high-margin Services segment. Our gross margin expanded reflecting operational excellence and favorable product mix. We returned significant capital to shareholders through dividends and share repurchases reflecting our confidence in the business. Services reached an all-time high demonstrating the strength of our installed base and ecosystem. We remain confident in our long-term growth trajectory and continue to invest in innovation across all segments globally.",85,synthetic,Apple Inc.,Technology
AAPL,2021-10-01,Q4 2021,2021,positive,"For the quarter ended October 2021, We are pleased to report record revenue demonstrating strong performance across iPhone, Mac, iPad, and our high-margin Services segment. Our gross margin expanded reflecting operational excellence and favorable product mix. We returned significant capital to shareholders through dividends and share repurchases reflecting our confidence in the business. Services reached an all-time high demonstrating the strength of our installed base and ecosystem. We remain confident in our long-term growth trajectory and continue to invest in innovation across all segments globally.",85,synthetic,Apple Inc.,Technology
AAPL,2022-01-01,Q1 2022,2022,mixed,"For the quarter ended January 2022, Revenue reflects some headwinds from foreign exchange and macroeconomic uncertainty in certain markets. We are monitoring the environment carefully and remain cautious about near-term demand trends particularly in greater China. Despite these challenges our fundamentals remain solid and we are taking appropriate measures to manage costs and protect margins. We believe the near-term pressure is temporary and our long-term opportunity remains compelling and significant.",70,synthetic,Apple Inc.,Technology
AAPL,2022-04-01,Q2 2022,2022,mixed,"For the quarter ended April 2022, Revenue reflects some headwinds from foreign exchange and macroeconomic uncertainty in certain markets. We are monitoring the environment carefully and remain cautious about near-term demand trends particularly in greater China. Despite these challenges our fundamentals remain solid and we are taking appropriate measures to manage costs and protect margins. We believe the near-term pressure is temporary and our long-term opportunity remains compelling and significant.",70,synthetic,Apple Inc.,Technology
AAPL,2022-07-01,Q3 2022,2022,mixed,"For the quarter ended July 2022, Revenue reflects some headwinds from foreign exchange and macroeconomic uncertainty in certain markets. We are monitoring the environment carefully and remain cautious about near-term demand trends particularly in greater China. Despite these challenges our fundamentals remain solid and we are taking appropriate measures to manage costs and protect margins. We believe the near-term pressure is temporary and our long-term opportunity remains compelling and significant.",70,synthetic,Apple Inc.,Technology
AAPL,2022-10-01,Q4 2022,2022,positive,"For the quarter ended October 2022, We are pleased to report record revenue demonstrating strong performance across iPhone, Mac, iPad, and our high-margin Services segment. Our gross margin expanded reflecting operational excellence and favorable product mix. We returned significant capital to shareholders through dividends and share repurchases reflecting our confidence in the business. Services reached an all-time high demonstrating the strength of our installed base and ecosystem. We remain confident in our long-term growth trajectory and continue to invest in innovation across all segments globally.",85,synthetic,Apple Inc.,Technology
AAPL,2023-01-01,Q1 2023,2023,cautious,"For the quarter ended January 2023, We delivered results in line with our expectations though the environment remains uncertain and challenging in several dimensions. Supply constraints impacted revenue by more than we anticipated. We are carefully managing our cost structure while continuing to invest in areas that will drive future growth. We are monitoring macroeconomic and geopolitical developments carefully and adjusting our outlook accordingly.",64,synthetic,Apple Inc.,Technology
AAPL,2023-04-01,Q2 2023,2023,mixed,"For the quarter ended April 2023, Revenue reflects some headwinds from foreign exchange and macroeconomic uncertainty in certain markets. We are monitoring the environment carefully and remain cautious about near-term demand trends particularly in greater China. Despite these challenges our fundamentals remain solid and we are taking appropriate measures to manage costs and protect margins. We believe the near-term pressure is temporary and our long-term opportunity remains compelling and significant.",70,synthetic,Apple Inc.,Technology
AAPL,2023-07-01,Q3 2023,2023,positive,"For the quarter ended July 2023, We are pleased to report record revenue demonstrating strong performance across iPhone, Mac, iPad, and our high-margin Services segment. Our gross margin expanded reflecting operational excellence and favorable product mix. We returned significant capital to shareholders through dividends and share repurchases reflecting our confidence in the business. Services reached an all-time high demonstrating the strength of our installed base and ecosystem. We remain confident in our long-term growth trajectory and continue to invest in innovation across all segments globally.",85,synthetic,Apple Inc.,Technology
AAPL,2023-10-01,Q4 2023,2023,positive,"For the quarter ended October 2023, We are pleased to report record revenue demonstrating strong performance across iPhone, Mac, iPad, and our high-margin Services segment. Our gross margin expanded reflecting operational excellence and favorable product mix. We returned significant capital to shareholders through dividends and share repurchases reflecting our confidence in the business. Services reached an all-time high demonstrating the strength of our installed base and ecosystem. We remain confident in our long-term growth trajectory and continue to invest in innovation across all segments globally.",85,synthetic,Apple Inc.,Technology
AAPL,2024-01-01,Q1 2024,2024,positive,"For the quarter ended January 2024, We are pleased to report record revenue demonstrating strong performance across iPhone, Mac, iPad, and our high-margin Services segment. Our gross margin expanded reflecting operational excellence and favorable product mix. We returned significant capital to shareholders through dividends and share repurchases reflecting our confidence in the business. Services reached an all-time high demonstrating the strength of our installed base and ecosystem. We remain confident in our long-term growth trajectory and continue to invest in innovation across all segments globally.",85,synthetic,Apple Inc.,Technology
AAPL,2024-04-01,Q2 2024,2024,positive,"For the quarter ended April 2024, We are pleased to report record revenue demonstrating strong performance across iPhone, Mac, iPad, and our high-margin Services segment. Our gross margin expanded reflecting operational excellence and favorable product mix. We returned significant capital to shareholders through dividends and share repurchases reflecting our confidence in the business. Services reached an all-time high demonstrating the strength of our installed base and ecosystem. We remain confident in our long-term growth trajectory and continue to invest in innovation across all segments globally.",85,synthetic,Apple Inc.,Technology
AAPL,2024-07-01,Q3 2024,2024,positive,"For the quarter ended July 2024, We are pleased to report record revenue demonstrating strong performance across iPhone, Mac, iPad, and our high-margin Services segment. Our gross margin expanded reflecting operational excellence and favorable product mix. We returned significant capital to shareholders through dividends and share repurchases reflecting our confidence in the business. Services reached an all-time high demonstrating the strength of our installed base and ecosystem. We remain confident in our long-term growth trajectory and continue to invest in innovation across all segments globally.",85,synthetic,Apple Inc.,Technology
AAPL,2024-10-01,Q4 2024,2024,positive,"For the quarter ended October 2024, We are pleased to report record revenue demonstrating strong performance across iPhone, Mac, iPad, and our high-margin Services segment. Our gross margin expanded reflecting operational excellence and favorable product mix. We returned significant capital to shareholders through dividends and share repurchases reflecting our confidence in the business. Services reached an all-time high demonstrating the strength of our installed base and ecosystem. We remain confident in our long-term growth trajectory and continue to invest in innovation across all segments globally.",85,synthetic,Apple Inc.,Technology
JPM,2020-04-01,Q2 2020,2020,positive,"For the quarter ended April 2020, JPMorgan reported strong net income with return on equity well above targets demonstrating the strength of our diversified business model across cycles. Net interest income benefited from the higher rate environment and we maintained excellent credit quality across our loan portfolio with minimal charge-offs. Investment banking fees showed strong recovery with improving capital markets activity and solid deal pipelines. We maintained our fortress balance sheet with capital ratios well above requirements.",77,synthetic,JPMorgan Chase,Financial Services
JPM,2020-07-01,Q3 2020,2020,positive,"For the quarter ended July 2020, JPMorgan reported strong net income with return on equity well above targets demonstrating the strength of our diversified business model across cycles. Net interest income benefited from the higher rate environment and we maintained excellent credit quality across our loan portfolio with minimal charge-offs. Investment banking fees showed strong recovery with improving capital markets activity and solid deal pipelines. We maintained our fortress balance sheet with capital ratios well above requirements.",77,synthetic,JPMorgan Chase,Financial Services
JPM,2020-10-01,Q4 2020,2020,positive,"For the quarter ended October 2020, JPMorgan reported strong net income with return on equity well above targets demonstrating the strength of our diversified business model across cycles. Net interest income benefited from the higher rate environment and we maintained excellent credit quality across our loan portfolio with minimal charge-offs. Investment banking fees showed strong recovery with improving capital markets activity and solid deal pipelines. We maintained our fortress balance sheet with capital ratios well above requirements.",77,synthetic,JPMorgan Chase,Financial Services
JPM,2021-01-01,Q1 2021,2021,positive,"For the quarter ended January 2021, JPMorgan reported strong net income with return on equity well above targets demonstrating the strength of our diversified business model across cycles. Net interest income benefited from the higher rate environment and we maintained excellent credit quality across our loan portfolio with minimal charge-offs. Investment banking fees showed strong recovery with improving capital markets activity and solid deal pipelines. We maintained our fortress balance sheet with capital ratios well above requirements.",77,synthetic,JPMorgan Chase,Financial Services
JPM,2021-04-01,Q2 2021,2021,positive,"For the quarter ended April 2021, JPMorgan reported strong net income with return on equity well above targets demonstrating the strength of our diversified business model across cycles. Net interest income benefited from the higher rate environment and we maintained excellent credit quality across our loan portfolio with minimal charge-offs. Investment banking fees showed strong recovery with improving capital markets activity and solid deal pipelines. We maintained our fortress balance sheet with capital ratios well above requirements.",77,synthetic,JPMorgan Chase,Financial Services
JPM,2021-07-01,Q3 2021,2021,mixed,"For the quarter ended July 2021, We reported solid results in a complex and uncertain environment. Credit costs normalized as expected and we built reserves prudently reflecting our cautious outlook on the credit cycle ahead. The banking industry faces meaningful headwinds from regulatory uncertainty and deposit competition intensifying. We remain vigilant about risks in commercial real estate and maintain conservative underwriting standards across our entire loan portfolio.",67,synthetic,JPMorgan Chase,Financial Services
JPM,2021-10-01,Q4 2021,2021,positive,"For the quarter ended October 2021, JPMorgan reported strong net income with return on equity well above targets demonstrating the strength of our diversified business model across cycles. Net interest income benefited from the higher rate environment and we maintained excellent credit quality across our loan portfolio with minimal charge-offs. Investment banking fees showed strong recovery with improving capital markets activity and solid deal pipelines. We maintained our fortress balance sheet with capital ratios well above requirements.",77,synthetic,JPMorgan Chase,Financial Services
JPM,2022-01-01,Q1 2022,2022,positive,"For the quarter ended January 2022, JPMorgan reported strong net income with return on equity well above targets demonstrating the strength of our diversified business model across cycles. Net interest income benefited from the higher rate environment and we maintained excellent credit quality across our loan portfolio with minimal charge-offs. Investment banking fees showed strong recovery with improving capital markets activity and solid deal pipelines. We maintained our fortress balance sheet with capital ratios well above requirements.",77,synthetic,JPMorgan Chase,Financial Services
JPM,2022-04-01,Q2 2022,2022,mixed,"For the quarter ended April 2022, We reported solid results in a complex and uncertain environment. Credit costs normalized as expected and we built reserves prudently reflecting our cautious outlook on the credit cycle ahead. The banking industry faces meaningful headwinds from regulatory uncertainty and deposit competition intensifying. We remain vigilant about risks in commercial real estate and maintain conservative underwriting standards across our entire loan portfolio.",67,synthetic,JPMorgan Chase,Financial Services
JPM,2022-07-01,Q3 2022,2022,positive,"For the quarter ended July 2022, JPMorgan reported strong net income with return on equity well above targets demonstrating the strength of our diversified business model across cycles. Net interest income benefited from the higher rate environment and we maintained excellent credit quality across our loan portfolio with minimal charge-offs. Investment banking fees showed strong recovery with improving capital markets activity and solid deal pipelines. We maintained our fortress balance sheet with capital ratios well above requirements.",77,synthetic,JPMorgan Chase,Financial Services
JPM,2022-10-01,Q4 2022,2022,cautious,"For the quarter ended October 2022, While results were acceptable the environment presents meaningful challenges that we are monitoring carefully. Credit normalization is progressing faster than expected in certain portfolios and we are reserving appropriately. Regulatory capital requirements are increasing and we are managing our balance sheet conservatively to maintain flexibility. Consumer delinquencies are rising modestly from historic lows and we remain cautious about consumer credit.",66,synthetic,JPMorgan Chase,Financial Services
JPM,2023-01-01,Q1 2023,2023,positive,"For the quarter ended January 2023, JPMorgan reported strong net income with return on equity well above targets demonstrating the strength of our diversified business model across cycles. Net interest income benefited from the higher rate environment and we maintained excellent credit quality across our loan portfolio with minimal charge-offs. Investment banking fees showed strong recovery with improving capital markets activity and solid deal pipelines. We maintained our fortress balance sheet with capital ratios well above requirements.",77,synthetic,JPMorgan Chase,Financial Services
JPM,2023-04-01,Q2 2023,2023,cautious,"For the quarter ended April 2023, While results were acceptable the environment presents meaningful challenges that we are monitoring carefully. Credit normalization is progressing faster than expected in certain portfolios and we are reserving appropriately. Regulatory capital requirements are increasing and we are managing our balance sheet conservatively to maintain flexibility. Consumer delinquencies are rising modestly from historic lows and we remain cautious about consumer credit.",66,synthetic,JPMorgan Chase,Financial Services
JPM,2023-07-01,Q3 2023,2023,mixed,"For the quarter ended July 2023, We reported solid results in a complex and uncertain environment. Credit costs normalized as expected and we built reserves prudently reflecting our cautious outlook on the credit cycle ahead. The banking industry faces meaningful headwinds from regulatory uncertainty and deposit competition intensifying. We remain vigilant about risks in commercial real estate and maintain conservative underwriting standards across our entire loan portfolio.",67,synthetic,JPMorgan Chase,Financial Services
JPM,2023-10-01,Q4 2023,2023,positive,"For the quarter ended October 2023, JPMorgan reported strong net income with return on equity well above targets demonstrating the strength of our diversified business model across cycles. Net interest income benefited from the higher rate environment and we maintained excellent credit quality across our loan portfolio with minimal charge-offs. Investment banking fees showed strong recovery with improving capital markets activity and solid deal pipelines. We maintained our fortress balance sheet with capital ratios well above requirements.",77,synthetic,JPMorgan Chase,Financial Services
JPM,2024-01-01,Q1 2024,2024,positive,"For the quarter ended January 2024, JPMorgan reported strong net income with return on equity well above targets demonstrating the strength of our diversified business model across cycles. Net interest income benefited from the higher rate environment and we maintained excellent credit quality across our loan portfolio with minimal charge-offs. Investment banking fees showed strong recovery with improving capital markets activity and solid deal pipelines. We maintained our fortress balance sheet with capital ratios well above requirements.",77,synthetic,JPMorgan Chase,Financial Services
JPM,2024-04-01,Q2 2024,2024,mixed,"For the quarter ended April 2024, We reported solid results in a complex and uncertain environment. Credit costs normalized as expected and we built reserves prudently reflecting our cautious outlook on the credit cycle ahead. The banking industry faces meaningful headwinds from regulatory uncertainty and deposit competition intensifying. We remain vigilant about risks in commercial real estate and maintain conservative underwriting standards across our entire loan portfolio.",67,synthetic,JPMorgan Chase,Financial Services
JPM,2024-07-01,Q3 2024,2024,mixed,"For the quarter ended July 2024, We reported solid results in a complex and uncertain environment. Credit costs normalized as expected and we built reserves prudently reflecting our cautious outlook on the credit cycle ahead. The banking industry faces meaningful headwinds from regulatory uncertainty and deposit competition intensifying. We remain vigilant about risks in commercial real estate and maintain conservative underwriting standards across our entire loan portfolio.",67,synthetic,JPMorgan Chase,Financial Services
JPM,2024-10-01,Q4 2024,2024,mixed,"For the quarter ended October 2024, We reported solid results in a complex and uncertain environment. Credit costs normalized as expected and we built reserves prudently reflecting our cautious outlook on the credit cycle ahead. The banking industry faces meaningful headwinds from regulatory uncertainty and deposit competition intensifying. We remain vigilant about risks in commercial real estate and maintain conservative underwriting standards across our entire loan portfolio.",67,synthetic,JPMorgan Chase,Financial Services
MSFT,2020-04-01,Q2 2020,2020,positive,"For the quarter ended April 2020, Microsoft Cloud revenue surpassed expectations growing strongly year over year. Azure and other cloud services demonstrated continued robust demand from enterprise customers accelerating their digital transformation journeys. AI integration across our product suite is gaining significant momentum with Copilot deployments expanding rapidly. Commercial bookings growth reflects healthy pipeline and strong execution across all our business segments. We are uniquely positioned to help every organization on the planet benefit from AI.",76,synthetic,Microsoft Corporation,Technology
MSFT,2020-07-01,Q3 2020,2020,mixed,"For the quarter ended July 2020, We delivered solid results across our three segments though growth moderated from recent quarters reflecting macro headwinds and enterprise budget scrutiny. We maintained strong discipline on expenses while continuing to invest in strategic AI priorities. Demand environment remains mixed with some customers extending procurement cycles and delaying decisions. We remain cautiously optimistic about the second half and are managing the business for both growth and profitability.",72,synthetic,Microsoft Corporation,Technology
MSFT,2020-10-01,Q4 2020,2020,positive,"For the quarter ended October 2020, Microsoft Cloud revenue surpassed expectations growing strongly year over year. Azure and other cloud services demonstrated continued robust demand from enterprise customers accelerating their digital transformation journeys. AI integration across our product suite is gaining significant momentum with Copilot deployments expanding rapidly. Commercial bookings growth reflects healthy pipeline and strong execution across all our business segments. We are uniquely positioned to help every organization on the planet benefit from AI.",76,synthetic,Microsoft Corporation,Technology
MSFT,2021-01-01,Q1 2021,2021,positive,"For the quarter ended January 2021, Microsoft Cloud revenue surpassed expectations growing strongly year over year. Azure and other cloud services demonstrated continued robust demand from enterprise customers accelerating their digital transformation journeys. AI integration across our product suite is gaining significant momentum with Copilot deployments expanding rapidly. Commercial bookings growth reflects healthy pipeline and strong execution across all our business segments. We are uniquely positioned to help every organization on the planet benefit from AI.",76,synthetic,Microsoft Corporation,Technology
MSFT,2021-04-01,Q2 2021,2021,positive,"For the quarter ended April 2021, Microsoft Cloud revenue surpassed expectations growing strongly year over year. Azure and other cloud services demonstrated continued robust demand from enterprise customers accelerating their digital transformation journeys. AI integration across our product suite is gaining significant momentum with Copilot deployments expanding rapidly. Commercial bookings growth reflects healthy pipeline and strong execution across all our business segments. We are uniquely positioned to help every organization on the planet benefit from AI.",76,synthetic,Microsoft Corporation,Technology
MSFT,2021-07-01,Q3 2021,2021,positive,"For the quarter ended July 2021, Microsoft Cloud revenue surpassed expectations growing strongly year over year. Azure and other cloud services demonstrated continued robust demand from enterprise customers accelerating their digital transformation journeys. AI integration across our product suite is gaining significant momentum with Copilot deployments expanding rapidly. Commercial bookings growth reflects healthy pipeline and strong execution across all our business segments. We are uniquely positioned to help every organization on the planet benefit from AI.",76,synthetic,Microsoft Corporation,Technology
MSFT,2021-10-01,Q4 2021,2021,mixed,"For the quarter ended October 2021, We delivered solid results across our three segments though growth moderated from recent quarters reflecting macro headwinds and enterprise budget scrutiny. We maintained strong discipline on expenses while continuing to invest in strategic AI priorities. Demand environment remains mixed with some customers extending procurement cycles and delaying decisions. We remain cautiously optimistic about the second half and are managing the business for both growth and profitability.",72,synthetic,Microsoft Corporation,Technology
MSFT,2022-01-01,Q1 2022,2022,positive,"For the quarter ended January 2022, Microsoft Cloud revenue surpassed expectations growing strongly year over year. Azure and other cloud services demonstrated continued robust demand from enterprise customers accelerating their digital transformation journeys. AI integration across our product suite is gaining significant momentum with Copilot deployments expanding rapidly. Commercial bookings growth reflects healthy pipeline and strong execution across all our business segments. We are uniquely positioned to help every organization on the planet benefit from AI.",76,synthetic,Microsoft Corporation,Technology
MSFT,2022-04-01,Q2 2022,2022,positive,"For the quarter ended April 2022, Microsoft Cloud revenue surpassed expectations growing strongly year over year. Azure and other cloud services demonstrated continued robust demand from enterprise customers accelerating their digital transformation journeys. AI integration across our product suite is gaining significant momentum with Copilot deployments expanding rapidly. Commercial bookings growth reflects healthy pipeline and strong execution across all our business segments. We are uniquely positioned to help every organization on the planet benefit from AI.",76,synthetic,Microsoft Corporation,Technology
